genus,species,Rain_600_mu,Rain_600_CI,Rain_800_mu,Rain_800_CI,Rain_1000_mu,Rain_1000_CI,Rain_1200_mu,Rain_1200_CI,Rain_1600_mu,Rain_1600_CI,Rain_2000_mu,Rain_2000_CI,Overall_mu,Overall_CI,n
Diploglottis,Diploglottis australis,,,,,,,0.1,0.04,,,,,0.1,0.04,
Doryphora,Doryphora sassafras,,,,,,,,,0.14,,,,0.14,,
Elaeocarpus,Elaeocarpus grandis,,,,,,,0.68,0.48,0.3,0.12,0.27,,0.48,0.29,
Endiandra,Endiandra discolor,,,,,,,,,,,0.21,0.17,0.21,0.16,
Endiandra,Endiandra sieberi,,,,,,,,,0.32,0.53,,,0.32,0.53,
Eremophila,Eremophila mitchellii,0.1,0.08,0.07,0.04,,,,,,,,,0.09,0.06,
Eucalyptus,Eucalyptus bancroftii,,,,,,,0.24,,0.06,0.08,,,0.15,0.08,
Eucalyptus,Eucalyptus crebra,,,0.17,,,,,,,,,,0.17,,
Eucalyptus,Eucalyptus drepanophylla,,,,,,,,,0.04,0.06,,,0.04,0.06,
Eucalyptus,Eucalyptus melanoleuca,,,0.05,,,,,,,,,,0.05,,
Eucalyptus,Eucalyptus microcarpa,,,0.2,0.08,,,,,,,,,0.2,0.08,
Eucalyptus,Eucalyptus pilligaensis,,,,,0.18,0.08,,,,,,,0.18,0.08,
Eucalyptus,Eucalyptus robusta,,,,,0.21,0.1,0.14,,,,,,0.19,0.1,
Eucalyptus,Eucalyptus rubiginosa,,,0.04,0.04,,,,,,,,,0.04,0.04,
Eucalyptus,Eucalyptus sideroxylon,,,0.14,,,,,,,,,,0.14,,
Eucalyptus,Eucalyptus tenuipes,,,0.09,0.05,,,,,,,,,0.09,0.06,
Euodia,Euodia bonwickii,,,,,,,,,0.26,0.21,,,0.26,0.22,
Euroschinus,Euroschinus falcata,,,,,,,,,0.14,0.27,,,0.14,0.27,
Flindersia,Flindersia bennettiana,,,,,,,,,,,0.45,0.52,0.45,0.53,
Flindersia,Flindersia schottiana,,,,,,,,,,,0.19,0.1,0.19,0.1,
Flindersia,Flindersia xanthoxyla,,,,,,,,,0.26,0.27,,,0.26,0.27,
Geijera,Geijera parviflora,0.26,0.11,0.09,0.09,,,,,,,,,0.17,0.1,
Gmelina,Gmelina leichhardtii,,,,,,,0.09,,0.38,,,,0.19,,
Guioa,Guioa acutifolia,,,,,,,,,0.42,,,,0.42,,
Jacksonia,Jacksonia scoparia,,,0.12,0.1,,,,,,,,,0.12,0.1,
Lepidozamia,Lepidozamia hopei,,,0.23,0.9,,,,,,,,,0.23,0.9,
Litsea,Litsea leefeana,,,0.21,,,,0.11,0.06,0.1,0.12,,,0.14,0.1,
Litsea,Litsea reticulata,,,,,,,,,0.45,0.28,,,0.45,0.27,
Livistona,Livistona spp,,,,,,,0.09,0.14,0.03,0.08,,,0.06,0.12,
Melaleuca,Melaleuca quinquenervia,,,,,,,0.13,0.12,0.13,0.13,,,0.13,0.14,
Monotoca,Monotoca scoparia,,,,,,,,,0.21,0.19,,,0.21,0.18,
Myristica,Myristica insipida,,,,,,,,,0.21,0.2,,,0.21,0.2,
Normanbya,Normanbya normanbyi,,,,,,,,,0.07,0.14,,,0.07,0.14,
Petalostigma,Petalostigma pubescens,,,0.08,,,,,,,,,,0.08,,
Pittosporum,Pittosporum phylliraeoides,,,0.34,,,,,,,,,,0.34,,
Pittosporum,Pittosporum undulatum,,,,,,,,,,,0.55,0.2,0.55,0.2,
Podocarpus,Podocarpus grayae,,,,,,,,,0.1,,0.2,0.02,0.18,0.02,
Polyscias,Polyscias elegans,,,,,,,0.27,0.15,0.1,0.29,0.39,0.05,0.26,0.16,
Polyscias,Polyscias murrayi,,,,,,,0.24,0.24,,,,,0.24,0.24,
Quintinia,Quintinia sieberi,,,,,,,,,0.15,0.17,,,0.15,0.18,
Randia,Randia fitzalanii,,,,,,,0.19,0.2,0.14,0.21,0.29,0.19,0.19,0.2,
Rhodamnia,Rhodamnia rubescens,,,,,,,,,0.06,0.13,,,0.06,0.14,
Rhodosphaera,Rhodosphaera rhodanthema,,,,,,,0.08,,0.22,0.17,0.41,0.12,0.23,0.14,
Sloanea,Sloanea australis,,,,,,,,,0.09,0.06,,,0.09,0.06,
Sloanea,Sloanea woollsii,,,,,,,,,0.33,,,,0.33,,
Solanum,Solanum torvum,,,0.08,0.08,,,,,,,,,0.08,0.08,
Syzygium,Syzygium crebrinerve,,,,,,,,,,,0.41,,0.41,,
Syzygium,Syzygium oleosum,,,,,,,,,0.08,0.06,0.13,0.09,0.11,0.08,
Toona,Toona ciliata,,,,,0.76,0.19,,,,,,,0.76,0.2,
Trochocarpa,Trochocarpa laurina,,,,,,,,,0.04,0.02,0.31,,0.18,0.02,
