datasetTitle,siteName,parentSiteName,latitude_Degree,longitude_Degree,plotArea_SquareMetre,plotWidth_Metre,plotLength_Metre,plotShape,siteVisitName,siteVisitStartDate,siteVisitEndDate,featureType,featureId,scientificName,stratumType,mostDominantSpecies,mostDominantSpeciesResultTime,mostDominantSpeciesMethod,secondMostDominantSpecies,secondMostDominantSpeciesResultTime,secondMostDominantSpeciesMethod,thirdMostDominantSpecies,thirdMostDominantSpeciesResultTime,thirdMostDominantSpeciesMethod
TERN Surveillance Monitoring,WAACOO0002,NA,-31.4017,119.651,10000.0,100.0,100.0,square,20131006,2013-10-06T09:41:00,2013-10-06T09:41:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53445-stratum-mid,N/A,Mid stratum,Duma florulenta,2013-10-06T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0005,NA,-31.6029,119.81,10000.0,100.0,100.0,square,20130823,2013-08-23T10:01:00,2013-08-23T10:01:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53446-stratum-ground,N/A,Ground stratum,Tripogonella loliiformis,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Aristida contorta,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0005,NA,-31.6029,119.81,10000.0,100.0,100.0,square,20130823,2013-08-23T10:01:00,2013-08-23T10:01:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53446-stratum-mid,N/A,Mid stratum,Acacia coolgardiensis,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0003,NA,-31.4,119.648,10000.0,100.0,100.0,square,20130710,2013-07-10T09:51:00,2013-07-10T09:51:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53447-stratum-ground,N/A,Ground stratum,Thryptomene kochii,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia beauverdiana,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Phebalium laevigatum,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0003,NA,-31.4,119.648,10000.0,100.0,100.0,square,20130710,2013-07-10T09:51:00,2013-07-10T09:51:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53447-stratum-mid,N/A,Mid stratum,Thryptomene kochii,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia beauverdiana,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Phebalium laevigatum,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0003,NA,-31.4,119.648,10000.0,100.0,100.0,square,20130710,2013-07-10T09:51:00,2013-07-10T09:51:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53447-stratum-upper,N/A,Upper stratum,Eucalyptus loxophleba subsp. lissophloia,2013-07-10T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0004,NA,-31.3989,119.647,10000.0,100.0,100.0,square,20140714,2014-07-14T12:00:00,2013-07-14T09:57:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53449-stratum-ground,N/A,Ground stratum,Melaleuca lateriflora,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia enervia subsp. enervia,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0004,NA,-31.3989,119.647,10000.0,100.0,100.0,square,20140714,2014-07-14T12:00:00,2013-07-14T09:57:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53449-stratum-mid,N/A,Mid stratum,Melaleuca lateriflora,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia enervia subsp. enervia,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0004,NA,-31.3989,119.647,10000.0,100.0,100.0,square,20140714,2014-07-14T12:00:00,2013-07-14T09:57:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53449-stratum-upper,N/A,Upper stratum,Eucalyptus salubris,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus moderata,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus salubris,2014-07-14T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0020,NA,-30.192,120.655,10000.0,100.0,100.0,square,20131030,2013-10-30T00:00:00,2013-10-30T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53450-stratum-ground,N/A,Ground stratum,Sclerolaena diacantha,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Maireana sedifolia,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
