"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1980","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
40955,"2","7",1,22483,1154.2,-0.1,47,"Elattostachys nervosa","Sapindaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.8,702.6,""
40956,"2","7",1,22363,1162.1,3.7,77,"Polyscias elegans","Araliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637.9,706.4,""
40957,"2","7",1,22364,1162.2,1.3,90,"Sarcopteryx stipata","Sapindaceae",2015,2017,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637.8,704,""
40958,"2","7",1,22365,1164.7,2.4,82,"Quintinia sieberi","Paracryphiaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.3,705.1,"Fallen tree in 2017"
40959,"2","7",1,22366,1166.6,4.2,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.4,706.9,"Fallen tree in 2017"
40960,"2","7",1,22367,1169,6,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,708.8,"Fallen tree in 2017"
40961,"2","7",1,NA,1170,2.2,0,NA,NA,2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,705,"elongate cots Fallen tree in 2017"
40962,"2","7",1,22484,1170.4,-1.4,37,"Diploglottis australis","Sapindaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.6,701.4,""
40963,"2","7",1,22487,1170.5,-3.9,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.5,698.9,""
40964,"2","7",1,NA,1170.6,3.4,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.4,706.2,"elongate cots. Fallen tree in 2017"
40965,"2","7",1,22486,1170.9,-3.5,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.1,699.3,""
40966,"2","7",1,22485,1171.9,-0.7,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.1,702.1,""
40967,"2","7",1,22368,1175,5.8,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,708.6,"Fallen tree in 2017"
40969,"2","7",4,NA,1176.7,5.7,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.3,708.5,"elongate cots Fallen tree in 2017"
40970,"2","7",1,22497,1178.7,4.6,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621.3,707.4,"elongate cots. Fallen tree in 2017"
40979,"2","7",1,22496,1182.2,1.1,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.8,704,"elongate cots. Fallen tree in 2017"
40980,"2","7",1,22495,1182.7,4,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.3,706.9,"elongate cots. Fallen tree in 2017"
40989,"2","7",1,22494,1186.5,3.1,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.5,706,"elongate cots. Fallen tree in 2017"
40991,"2","7",1,22498,1201.1,-3.5,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598.9,699.5,"Myrtacea - small, sparse oil dots"
40992,"2","7",1,NA,1205.4,3.4,77,"Polyscias elegans","Araliaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594.6,706.4,"Fallen tree in 2017"
40993,"2","7",1,22369,1213.7,5.1,100,"Wilkiea huegeliana","Monimiaceae",2015,2017,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.3,708.2,"Fallen tree in 2017"
