ID,Site,Source,Habit6,Family,Genus,Species,Sub species,Lat*,Long*,Age<20?,Type of system,Type of system,EcoRegion,MAT,MAR,Tree height (m),Stem diameter at 10 cm height (cm),Stem diameter at 30 cm height (cm),Stem diameter at 50 cm height (cm),Stem diameter at 130 cm height (cm),Total AGB (DW kg),Total BGB (DW kg)_Estimated value based on adjustments to consider stump biomass & root excavation volume 
1648,McAurthur_PRPov,Geoff McArthur pers. com.,FShrub&Ac,Scrophulariaceae,Eremophila,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,1.80,NA,NA,7.04,NA,7.27,1.49
1659,McAurthur_AP7BG,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.86,312.27,1.10,NA,NA,3.33,NA,1.41,0.76
1660,McAurthur_AP7BG,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.86,312.27,0.90,NA,NA,4.21,NA,1.41,0.68
1661,McAurthur_AP7BG,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.86,312.27,1.20,NA,NA,5.06,NA,4.06,1.37
1662,McAurthur_AP7BG,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.86,312.27,1.30,NA,NA,5.88,NA,6.22,1.72
1670,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,1.30,NA,NA,6.13,NA,5.91,1.57
1671,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Rhagodia,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,1.30,NA,NA,6.66,NA,4.39,1.49
1688,McAurthur_BigBilly1,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,1.20,3.77,NA,2.96,NA,3.04,0.54
1689,McAurthur_BigBilly1,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,1.50,7.03,NA,6.20,NA,8.91,0.95
1690,McAurthur_BigBilly1,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,1.10,4.38,NA,3.07,NA,3.89,0.52
1691,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,1.75,NA,NA,10.83,NA,13.19,3.83
1692,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,1.50,NA,NA,9.14,NA,10.35,3.07
1693,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.10,NA,NA,15.10,NA,24.53,6.84
1694,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Chenopodiaceae,Atriplex,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.10,NA,NA,9.90,NA,5.47,2.80
15916,Paul_Meadows,Keryn Paul pers. com.,FShrub&Ac,,Dodonaea,viscosa,angustissima,-31.8,145.4,No,Natural, Regeneration ,"Temperate Grasslands, Savannas and Shrublands",19.11,357.29,NA,0.60,NA,NA,NA,0.01,0.00
15917,Paul_Meadows,Keryn Paul pers. com.,FShrub&Ac,,Dodonaea,viscosa,angustissima,-31.8,145.4,No,Natural, Regeneration ,"Temperate Grasslands, Savannas and Shrublands",19.11,357.29,NA,0.94,NA,NA,NA,0.03,0.01
15918,Paul_Meadows,Keryn Paul pers. com.,FShrub&Ac,,Dodonaea,viscosa,angustissima,-31.8,145.4,No,Natural, Regeneration ,"Temperate Grasslands, Savannas and Shrublands",19.11,357.29,1.20,0.70,NA,NA,NA,0.04,0.02
