"model","ssp_scenario","threshold_val","sample_id","Damage"
"ACCESS-CM2","ssp370",0.5,7,312407719.623603
"CNRM-CM6-1-HR","ssp370",0.5,7,289619173.456526
"MPI-ESM1-2-LR","ssp370",0.5,7,172653014.593534
"ACCESS-CM2","historical",0.2,8,616558404.786228
"CNRM-CM6-1-HR","historical",0.2,8,827451909.567957
"MPI-ESM1-2-LR","historical",0.2,8,667510617.418411
"ACCESS-CM2","ssp126",0.2,8,623255655.298441
"CNRM-CM6-1-HR","ssp126",0.2,8,623252414.908129
"MPI-ESM1-2-LR","ssp126",0.2,8,697066558.892734
"ACCESS-CM2","ssp245",0.2,8,745953329.833004
"CNRM-CM6-1-HR","ssp245",0.2,8,592288221.737318
"MPI-ESM1-2-LR","ssp245",0.2,8,492019479.478496
"ACCESS-CM2","ssp370",0.2,8,535064438.375501
"CNRM-CM6-1-HR","ssp370",0.2,8,609216342.092809
"MPI-ESM1-2-LR","ssp370",0.2,8,444816277.307195
"ACCESS-CM2","historical",0.5,8,368957383.772112
"CNRM-CM6-1-HR","historical",0.5,8,468944522.004375
"MPI-ESM1-2-LR","historical",0.5,8,317013917.177543
"ACCESS-CM2","ssp126",0.5,8,287820842.659696
"CNRM-CM6-1-HR","ssp126",0.5,8,273731742.895729
"MPI-ESM1-2-LR","ssp126",0.5,8,369383389.124264
"ACCESS-CM2","ssp245",0.5,8,306672112.479875
"CNRM-CM6-1-HR","ssp245",0.5,8,238685629.575131
"MPI-ESM1-2-LR","ssp245",0.5,8,205814863.046469
"ACCESS-CM2","ssp370",0.5,8,342210278.988598
"CNRM-CM6-1-HR","ssp370",0.5,8,317247517.911
"MPI-ESM1-2-LR","ssp370",0.5,8,189094155.489122
"ACCESS-CM2","historical",0.2,9,709523532.878818
"CNRM-CM6-1-HR","historical",0.2,9,952251818.163986
"MPI-ESM1-2-LR","historical",0.2,9,768192616.230312
"ACCESS-CM2","ssp126",0.2,9,717202755.853342
"CNRM-CM6-1-HR","ssp126",0.2,9,717191016.151356
"MPI-ESM1-2-LR","ssp126",0.2,9,802134200.838061
"ACCESS-CM2","ssp245",0.2,9,858401796.226939
"CNRM-CM6-1-HR","ssp245",0.2,9,681576061.577897
"MPI-ESM1-2-LR","ssp245",0.2,9,566143365.206262
"ACCESS-CM2","ssp370",0.2,9,615607726.338572
"CNRM-CM6-1-HR","ssp370",0.2,9,701038401.872446
"MPI-ESM1-2-LR","ssp370",0.2,9,511817053.13757
"ACCESS-CM2","historical",0.5,9,424565836.073786
"CNRM-CM6-1-HR","historical",0.5,9,539579502.47997
"MPI-ESM1-2-LR","historical",0.5,9,364777082.498834
"ACCESS-CM2","ssp126",0.5,9,331158073.949312
"CNRM-CM6-1-HR","ssp126",0.5,9,314901166.519181
"MPI-ESM1-2-LR","ssp126",0.5,9,424981361.600732
"ACCESS-CM2","ssp245",0.5,9,352782434.385626
"CNRM-CM6-1-HR","ssp245",0.5,9,274577136.064178
"MPI-ESM1-2-LR","ssp245",0.5,9,236776366.53635
"ACCESS-CM2","ssp370",0.5,9,393662113.770411
"CNRM-CM6-1-HR","ssp370",0.5,9,364968269.093129
"MPI-ESM1-2-LR","ssp370",0.5,9,217492780.420227
"ACCESS-CM2","historical",0.2,10,590922035.970162
"CNRM-CM6-1-HR","historical",0.2,10,792998748.805925
"MPI-ESM1-2-LR","historical",0.2,10,639863636.974374
"ACCESS-CM2","ssp126",0.2,10,597276992.369024
"CNRM-CM6-1-HR","ssp126",0.2,10,597282429.850672
"MPI-ESM1-2-LR","ssp126",0.2,10,667897069.065763
"ACCESS-CM2","ssp245",0.2,10,715052674.159558
"CNRM-CM6-1-HR","ssp245",0.2,10,567580704.587637
"MPI-ESM1-2-LR","ssp245",0.2,10,471390074.967217
"ACCESS-CM2","ssp370",0.2,10,512591032.924848
"CNRM-CM6-1-HR","ssp370",0.2,10,583771188.097425
"MPI-ESM1-2-LR","ssp370",0.2,10,426273767.065767
"ACCESS-CM2","historical",0.5,10,353573178.986285
"CNRM-CM6-1-HR","historical",0.5,10,449261081.485287
